SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Plant_type,Soil,,,
cf314_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
cf314_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
cf314_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
cs29_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
cs29_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
cs29_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
cs412_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
cs412_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
cs412_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
mer181_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
mer181_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
mer181_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
mer348_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
mer348_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
mer348_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
pn828_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
pn828_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
pn828_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
pn89_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
pn89_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
pn89_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
r171_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
r171_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
r171_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
sb906_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
sb906_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
sb906_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
vn642_r1_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
vn642_r2_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
vn642_r3_p1,Sujeeun_et_al_2024,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural,Managed,,,
