Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,13:35:27,11,sun(edge_of_cay),young/mature,5,919,0,-0.286,0.0104,126,0.318,2.96,31.4,6,1.42,1,2.84,29.54,31.4,30.13,86.4,86.79,16.202,16.671,38.8,39.92,400.1,1500,6,99.38,-0.118,0.128,0.5,-0.22,2.74,1,0,0.16,111135,OK
4,13:39:29,11,sun(edge_of_cay),young/mature,5,1161,0,-0.0553,0.0137,102,0.409,2.89,31.31,6,1.42,1,2.84,29.49,31.31,30.13,100.51,100.53,16.493,17.096,39.62,41.06,400,1501,11,99.37,-0.311,0.0957,1,-0.22,2.74,1,0,0.16,111115,OK
5,13:42:28,11,sun(edge_of_cay),young/mature,5,1340.5,0,0.286,0.0173,118,0.512,2.86,31.31,6,1.42,1,2.84,29.47,31.31,30.13,151.06,150.52,16.679,17.434,40.11,41.92,399.9,1500,7,99.36,-0.877,0.101,0.8,-0.22,2.74,1,0,0.16,111115,OK
6,13:45:33,11,sun(edge_of_cay),young/mature,5,1525.5,0,1.44,0.0214,131,0.626,2.83,31.34,6,1.42,1,2.84,29.57,31.34,30.13,250.32,247.93,16.88,17.803,40.36,42.56,399.9,1500,8,99.35,-2.34,0.0816,0.5,-0.22,2.74,1,0,0.16,111115,OK
7,13:47:40,11,sun(edge_of_cay),young/mature,5,1652.5,0,1.58,0.0253,138,0.732,2.8,31.35,6,1.42,1,2.84,29.52,31.35,30.13,250.39,247.74,17.028,18.106,40.82,43.41,400,1499,7,99.35,-2.34,0.0816,1,-0.22,2.74,1,0,0.16,111115,OK
8,13:50:14,11,sun(edge_of_cay),young/mature,5,1806,0,2.96,0.0314,182,0.891,2.76,31.34,6,1.42,1,2.84,29.58,31.34,30.13,351.42,346.51,17.219,18.531,41.12,44.26,400,1499,7,99.35,-4.1,0.079,0.5,-0.22,2.74,1,0,0.16,111115,OK
9,13:53:37,11,sun(edge_of_cay),young/mature,5,2010,0,5.97,0.0417,290,1.15,2.7,31.35,6,1.42,1,2.84,29.53,31.35,30.13,550.24,540.35,17.465,19.163,41.85,45.92,400.1,1501,7,99.35,-7.87,0.0751,0.8,-0.22,2.74,1,0,0.16,111115,OK
10,13:56:43,11,sun(edge_of_cay),young/mature,5,2194.5,0,8.65,0.0529,444,1.42,2.63,31.33,6,1.42,1,2.84,29.63,31.33,30.13,750.17,735.62,17.698,19.789,42.15,47.13,400,1500,6,99.35,-12,0.0657,0.5,-0.22,2.74,1,0,0.16,111115,OK
11,14:00:02,11,sun(edge_of_cay),young/mature,5,2394.5,0,11.3,0.0643,659,1.68,2.56,31.3,6,1.42,1,2.84,29.66,31.3,30.13,1000.24,980.8,17.97,20.433,42.73,48.59,399.7,1501,12,99.34,-18.2,0.0617,0.5,-0.22,2.74,1,0,0.16,111115,OK
12,14:06:18,11,sun(edge_of_cay),young/mature,5,2769.5,0,13.4,0.0817,868,2.02,2.44,31.22,6,1.42,1,2.84,29.69,31.22,30.13,1201.34,1177.69,18.427,21.394,43.74,50.78,399.9,1501,11,99.32,-23.3,0.0519,1,-0.22,2.74,1,0,0.16,111115,OK
13,14:10:46,11,sun(edge_of_cay),young/mature,5,3038,0,14.5,0.0902,1.16E+03,2.15,2.37,31.11,6,1.42,1,2.84,29.77,31.11,30.13,1500.85,1474.29,18.736,21.897,44.26,51.73,400,1500,8,99.32,-31.6,0.039,0.5,-0.22,2.74,1,0,0.16,111115,OK
14,14:14:16,11,sun(edge_of_cay),young/mature,5,3248.5,0,15.7,0.0952,1.63E+03,2.22,2.31,31.01,6,1.42,1,2.84,29.73,31.01,30.13,2000.09,1969.93,18.935,22.189,44.84,52.54,400,1501,5,99.31,-45.9,0.0421,0.5,-0.22,2.74,1,0,0.16,111115,OK
15,14:18:15,11,sun(edge_of_cay),young/mature,5,3486.5,0,15.9,0.0996,1.93E+03,2.28,2.27,30.97,6,1.42,1,2.84,29.69,30.97,30.13,2300.1,2268.47,19.105,22.452,45.34,53.28,399.8,1501,10,99.3,-54.9,0.0443,0.5,-0.22,2.74,1,0,0.16,111115,OK
16,14:21:45,11,sun(edge_of_cay),young/mature,5,3696,0,16,0.103,2.13E+03,2.34,2.26,31,6,1.42,1,2.84,29.73,31,30.13,2500.38,2467.76,19.287,22.721,45.65,53.77,399.9,1500,9,99.29,-61.4,0.0422,0.5,-0.22,2.74,1,0,0.16,111115,OK
